type,name,height,base,t_w,t_f,r_1,r_2,a,a_vz,a_vy,i_y,i_z,i_t,i_w,w_el_y,w_el_z,w_pl_y,w_pl_z
TCAR,TCAR250x6,0.25,0.25,0.006,0.006,0.012,0.006,0.00576329,0.002881645,0.002881645,0.0000567,0.0000567,0.0000884,0,0.00045376,0.00045376,0.00052445,0.00052445
TCAR,TCAR250x6.3,0.25,0.25,0.0063,0.0063,0.01575,0.00945,0.00600496,0.00300248,0.00300248,0.0000587,0.0000587,0.0000929,0,0.00046981,0.00046981,0.00054443,0.00054443
TCAR,TCAR250x8,0.25,0.25,0.008,0.008,0.02,0.012,0.00752425,0.003762125,0.003762125,0.0000723,0.0000723,0.00011598,0,0.00057834,0.00057834,0.00067577,0.00067577
TCAR,TCAR250x10,0.25,0.25,0.01,0.01,0.025,0.015,0.00925664,0.00462832,0.00462832,0.0000871,0.0000871,0.00014197,0,0.00069653,0.00069653,0.000822,0.000822
TCAR,TCAR250x12,0.25,0.25,0.012,0.012,0.036,0.024,0.01080595,0.005402975,0.005402975,0.0000986,0.0000986,0.00016691,0,0.00078875,0.00078875,0.00094356,0.00094356
TCAR,TCAR250x12.5,0.25,0.25,0.0125,0.0125,0.0375,0.025,0.01120437,0.005602185,0.005602185,0.00010161,0.00010161,0.00017283,0,0.00081291,0.00081291,0.00097517,0.00097517
TCAR,TCAR250x16,0.25,0.25,0.016,0.016,0.048,0.032,0.01387724,0.00693862,0.00693862,0.00012047,0.00012047,0.00021146,0,0.00096377,0.00096377,0.0011797,0.0011797
TCAR,TCAR260x6,0.26,0.26,0.006,0.006,0.012,0.006,0.00600329,0.003001645,0.003001645,0.000064,0.000064,0.0000997,0,0.00049266,0.00049266,0.0005688,0.0005688
TCAR,TCAR260x6.3,0.26,0.26,0.0063,0.0063,0.01575,0.00945,0.00625696,0.00312848,0.00312848,0.0000664,0.0000664,0.00010475,0,0.00051038,0.00051038,0.00059075,0.00059075
TCAR,TCAR260x8,0.26,0.26,0.008,0.008,0.02,0.012,0.00784425,0.003922125,0.003922125,0.0000818,0.0000818,0.00013087,0,0.00062908,0.00062908,0.00073395,0.00073395
TCAR,TCAR260x10,0.26,0.26,0.01,0.01,0.025,0.015,0.00965664,0.00482832,0.00482832,0.0000986,0.0000986,0.00016035,0,0.00075882,0.00075882,0.00089378,0.00089378
TCAR,TCAR260x12,0.26,0.26,0.012,0.012,0.036,0.024,0.01128595,0.005642975,0.005642975,0.000112,0.000112,0.00018878,0,0.0008615,0.0008615,0.00102795,0.00102795
TCAR,TCAR260x12.5,0.26,0.26,0.0125,0.0125,0.0375,0.025,0.01170437,0.005852185,0.005852185,0.00011548,0.00011548,0.00019553,0,0.0008883,0.0008883,0.00106276,0.00106276
TCAR,TCAR260x16,0.26,0.26,0.016,0.016,0.048,0.032,0.01451724,0.00725862,0.00725862,0.00013739,0.00013739,0.00023986,0,0.00105683,0.00105683,0.00128893,0.00128893
TCAR,TCAR300x6,0.3,0.3,0.006,0.006,0.012,0.006,0.00696329,0.003481645,0.003481645,0.0000996,0.0000996,0.00015434,0,0.00066424,0.00066424,0.00076423,0.00076423
TCAR,TCAR300x6.3,0.3,0.3,0.0063,0.0063,0.01575,0.00945,0.00726496,0.00363248,0.00363248,0.00010342,0.00010342,0.00016218,0,0.00068947,0.00068947,0.00079494,0.00079494
TCAR,TCAR300x8,0.3,0.3,0.008,0.008,0.02,0.012,0.00912425,0.004562125,0.004562125,0.00012801,0.00012801,0.00020312,0,0.00085338,0.00085338,0.00099067,0.00099067
TCAR,TCAR300x10,0.3,0.3,0.01,0.01,0.025,0.015,0.01125664,0.00562832,0.00562832,0.00015519,0.00015519,0.00024966,0,0.00103462,0.00103462,0.00121091,0.00121091
TCAR,TCAR300x12,0.3,0.3,0.012,0.012,0.036,0.024,0.01320595,0.006602975,0.006602975,0.00017767,0.00017767,0.00029514,0,0.00118449,0.00118449,0.00140151,0.00140151
TCAR,TCAR300x12.5,0.3,0.3,0.0125,0.0125,0.0375,0.025,0.01370437,0.006852185,0.006852185,0.00018348,0.00018348,0.00030601,0,0.00122321,0.00122321,0.0014506,0.0014506
TCAR,TCAR300x16,0.3,0.3,0.016,0.016,0.048,0.032,0.01707724,0.00853862,0.00853862,0.00022076,0.00022076,0.00037837,0,0.00147173,0.00147173,0.00177384,0.00177384
TCAR,TCAR350x8,0.35,0.35,0.008,0.008,0.02,0.012,0.01072425,0.005362125,0.005362125,0.00020681,0.00020681,0.00032557,0,0.00118175,0.00118175,0.00136558,0.00136558
TCAR,TCAR350x10,0.35,0.35,0.01,0.01,0.025,0.015,0.01325664,0.00662832,0.00662832,0.00025189,0.00025189,0.00040127,0,0.00143938,0.00143938,0.00167483,0.00167483
